,name,distance,moving_time,elapsed_time,total_elevation_gain,type,id,external_id,upload_id,start_date,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,average_speed,max_speed
0,Stonks 📈,55804.8,8985,9795,547.7,Ride,5080581256,44A84DD1-7101-484B-A1BE-EE5CFF275DA5-activity.fit,5416588452,2021-04-06T15:15:00Z,"[45.59184, -122.752997]","[45.591814, -122.753083]",,,,45.59184,-122.752997,6.211,17.0
1,🦆 this headwind ,25217.3,4078,5586,64.9,Ride,5071060394,C9DD5728-B20C-4888-AC2E-0030F2F321A8-activity.fit,5406629225,2021-04-04T23:57:24Z,"[45.592077, -122.752846]","[45.592046, -122.752902]",,,,45.592077,-122.752846,6.184,9.8
2,Yacult ,5793.7,3888,3888,0,Hike,5070626491,,,2021-04-04T21:21:31Z,,,,,,,,1.49,0.0
3,Stonks 📈,32125.4,5814,6149,501.4,Ride,5057410910,5D20BC17-47CC-496E-9CAB-EFB06FB4EDDC-activity.fit,5392273340,2021-04-02T17:26:39Z,"[45.59126, -122.753064]","[45.591825, -122.753111]",,,,45.59126,-122.753064,5.526,15.1
4,Lil vibe ,2926.7,2693,3835,182.9,Hike,5052735696,B20F92F6-A163-4603-AD17-FE371CDDCE29-activity.fit,5387361476,2021-04-02T00:38:04Z,"[45.596234, -122.7844]","[45.596303, -122.78436]",,,,45.596234,-122.7844,1.087,3.3
5,Linnton uphill 😫,4989.0,2171,2171,0,Run,5051118833,,,2021-04-01T17:23:29Z,,,,,,,,2.298,0.0
6,Run to mechanic ,3379.6,1367,1367,0,Run,5047561471,,,2021-04-01T05:01:55Z,,,,,,,,2.472,0.0
7,Flat killed my vibe ,10417.1,1584,1608,34.6,Ride,5040498918,C8BBBF22-9AE4-4D05-B5E7-FFFE52F284EE-activity.fit,5374540112,2021-03-30T20:18:01Z,"[45.591862, -122.753272]","[45.539312, -122.675426]",,,,45.591862,-122.753272,6.576,12.0
8,spliff O clock ,5013.4,1259,1488,43.7,Ride,5034727429,ECAA0818-C177-4108-A52F-0E8F24FDB7DD-activity.fit,5368510777,2021-03-30T01:48:28Z,"[45.576883, -122.739445]","[45.59176, -122.7531]",,,,45.576883,-122.739445,3.982,7.7
9,first leg,5310.9,1740,1740,0,Ride,5034733869,,,2021-03-30T00:47:00Z,,,,,,,,3.052,0.0
10,Yogging ,5110.6,1599,1636,32.9,Run,5032307344,BCE105F6-F51B-4CAE-A588-1B1913C95C8F-activity.fit,5365999452,2021-03-29T16:34:37Z,"[45.588742, -122.697739]","[45.592031, -122.752867]",,,,45.588742,-122.697739,3.196,4.6
11,Morning Ride,47537.7,8268,12226,515.0,Ride,5028294940,B760FE6D-8834-41F8-A16E-83D9DC659F3B-activity.fit,5361759728,2021-03-28T16:54:40Z,"[45.469442, -122.659408]","[45.467232, -122.653241]",,,,45.469442,-122.659408,5.75,15.6
12,got a fish,5826.0,1006,1288,6.0,Ride,5020663993,1469070E-1087-428E-9BD8-765F7240D889-activity.fit,5353733000,2021-03-27T16:30:33Z,"[45.591782, -122.753328]","[45.591793, -122.753151]",,,,45.591782,-122.753328,5.791,8.3
13,She’s back,64104.8,9754,11715,176.2,Ride,5016371469,ACFD0DEF-2DB9-4DCA-BB71-25C615673D9C-activity.fit,5349209632,2021-03-26T22:25:03Z,"[45.591891, -122.753219]","[45.591633, -122.753198]",,,,45.591891,-122.753219,6.572,12.8
14,Bike at the doc = go for a walk ,5022.3,3325,3404,22.6,Hike,5010555681,D1263C3C-D7B5-405C-A4D6-D881ACFD110C-activity.fit,5343103638,2021-03-25T20:47:12Z,"[45.569807, -122.773686]","[45.591761, -122.753134]",,,,45.569807,-122.773686,1.51,3.9
